Tên công việc,Tên công ty,Nơi làm việc,Địa chỉ cụ thể,Cấp bậc,Mức lương (VND),Ngày đăng tin,Ngày hết hạn,Link
TRƯỞNG NHÓM QUẢN LÝ VẬN HÀNH,Công Ty Cổ Phần Đầu Tư Và Kinh Doanh Nhà Khang Điền,Hồ Chí Minh,"Tầng 11 Tòa nhà Saigon Centre Office, 67 Lê Lợi, Bến Nghé, Quận 1, TPHCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-nhom-quan-ly-van-hanh-1964168-jv
Nhân Viên Tuân Thủ,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-tuan-thu-1964200-jv
"Nhân Viên Kinh Doanh Thiết Bị Y Tế, Phòng Lab.",CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ VÀ ĐẦU TƯ MDC - Chi nhánh HCM,"Hà Nội, Hồ Chí Minh","số 1, lô 2 liền kề Nam Thắng, ngõ 67 Phùng Khoang, phường Đại Mỗ, TP Hà Nội; Số 173 Thống Nhất, Phường Phú Thọ Hòa, TP Hồ Chí Minh",Nhân viên,Từ 12.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-kinh-doanh-thiet-bi-y-te-phong-lab-1964194-jv
Trưởng Phòng Dịch Vụ Khách Hàng,Công Ty Cổ Phần Chứng Khoán BETA,Hồ Chí Minh,"Tầng 4-5, 55 Nam Kỳ Khởi Nghĩa, P. Bến Thành, TP.HCM",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-phong-dich-vu-khach-hang-1945417-jv
Marketing Intern (Market Research & Analysis),Navigos Group,Hồ Chí Minh,"20th Floor - 11 Doan Van Bo, Ward 13",Thực tập sinh/Sinh viên,Lên đến 3.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/marketing-intern-market-research-and-analysis-1964255-jv
Kế Toán Tổng Hợp,Công ty TNHH Thương mại & Đầu tư Tbestpro,Hà Nội,"số 8 Đường Quang Trung, Quang Trung, Hà Đông, Hanoi, Vietnam",Nhân viên,9.000.000 - 14.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-tong-hop-1964199-jv
[Nhà Máy Bắc Giang] Chuyên Viên Kỹ Thuật Xưởng (Thu Nhập Từ 15- 20Tr/tháng),Công Ty Cổ Phần Thiết Bị Và Giải Pháp Cơ Khí AUTOMECH,"Bắc Giang, Bắc Ninh","Nhà máy số 01 – Lô E5, KCN Đình Trám, phường Nếnh, thị xã Việt Yên, tỉnh Bắc Giang; Bắc Ninh, Bac Ninh Province, Vietnam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nha-may-bac-giang-chuyen-vien-ky-thuat-xuong-thu-nhap-tu-15-20trthang-1964270-jv
Chuyên Viên/ Nhân Viên Thú Y Trang Trại Bò Thịt,Công Ty TNHH Chăn Nuôi Việt Nhật - Công Ty Thành Viên Của Vinamilk,Vĩnh Phúc,"Trang trại bò tại Bình Xuyên, Phú Thọ (Vĩnh Phúc)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-nhan-vien-thu-y-trang-trai-bo-thit-1964198-jv
Nhân Viên Pha Màu,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Mới Tốt Nghiệp,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-pha-mau-1964201-jv
Chuyên Viên Kế Toán,CÔNG TY CỔ PHẦN AMBER CAPITAL HOLDINGS,Hà Nội,"Tòa nhà Amber, 37 Bà Triệu, Hàng Bài, Hoàn Kiếm, Hà Nội",Nhân viên,1 - 1 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-ke-toan-1964195-jv
TRƯỞNG NHÓM QUẢN LÝ VẬN HÀNH,Công Ty Cổ Phần Đầu Tư Và Kinh Doanh Nhà Khang Điền,Hồ Chí Minh,"Tầng 11 Tòa nhà Saigon Centre Office, 67 Lê Lợi, Bến Nghé, Quận 1, TPHCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-nhom-quan-ly-van-hanh-1964168-jv
Nhân Viên Tuân Thủ,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-tuan-thu-1964200-jv
"Nhân Viên Kinh Doanh Thiết Bị Y Tế, Phòng Lab.",CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ VÀ ĐẦU TƯ MDC - Chi nhánh HCM,"Hà Nội, Hồ Chí Minh","số 1, lô 2 liền kề Nam Thắng, ngõ 67 Phùng Khoang, phường Đại Mỗ, TP Hà Nội; Số 173 Thống Nhất, Phường Phú Thọ Hòa, TP Hồ Chí Minh",Nhân viên,Từ 12.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-kinh-doanh-thiet-bi-y-te-phong-lab-1964194-jv
Trưởng Phòng Dịch Vụ Khách Hàng,Công Ty Cổ Phần Chứng Khoán BETA,Hồ Chí Minh,"Tầng 4-5, 55 Nam Kỳ Khởi Nghĩa, P. Bến Thành, TP.HCM",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-phong-dich-vu-khach-hang-1945417-jv
Marketing Intern (Market Research & Analysis),Navigos Group,Hồ Chí Minh,"20th Floor - 11 Doan Van Bo, Ward 13",Thực tập sinh/Sinh viên,Lên đến 3.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/marketing-intern-market-research-and-analysis-1964255-jv
Kế Toán Tổng Hợp,Công ty TNHH Thương mại & Đầu tư Tbestpro,Hà Nội,"số 8 Đường Quang Trung, Quang Trung, Hà Đông, Hanoi, Vietnam",Nhân viên,9.000.000 - 14.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-tong-hop-1964199-jv
[Nhà Máy Bắc Giang] Chuyên Viên Kỹ Thuật Xưởng (Thu Nhập Từ 15- 20Tr/tháng),Công Ty Cổ Phần Thiết Bị Và Giải Pháp Cơ Khí AUTOMECH,"Bắc Giang, Bắc Ninh","Nhà máy số 01 – Lô E5, KCN Đình Trám, phường Nếnh, thị xã Việt Yên, tỉnh Bắc Giang; Bắc Ninh, Bac Ninh Province, Vietnam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nha-may-bac-giang-chuyen-vien-ky-thuat-xuong-thu-nhap-tu-15-20trthang-1964270-jv
Chuyên Viên/ Nhân Viên Thú Y Trang Trại Bò Thịt,Công Ty TNHH Chăn Nuôi Việt Nhật - Công Ty Thành Viên Của Vinamilk,Vĩnh Phúc,"Trang trại bò tại Bình Xuyên, Phú Thọ (Vĩnh Phúc)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-nhan-vien-thu-y-trang-trai-bo-thit-1964198-jv
Nhân Viên Pha Màu,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Mới Tốt Nghiệp,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-pha-mau-1964201-jv
Chuyên Viên Kế Toán,CÔNG TY CỔ PHẦN AMBER CAPITAL HOLDINGS,Hà Nội,"Tòa nhà Amber, 37 Bà Triệu, Hàng Bài, Hoàn Kiếm, Hà Nội",Nhân viên,1 - 1 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-ke-toan-1964195-jv
TRƯỞNG NHÓM QUẢN LÝ VẬN HÀNH,Công Ty Cổ Phần Đầu Tư Và Kinh Doanh Nhà Khang Điền,Hồ Chí Minh,"Tầng 11 Tòa nhà Saigon Centre Office, 67 Lê Lợi, Bến Nghé, Quận 1, TPHCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-nhom-quan-ly-van-hanh-1964168-jv
Nhân Viên Tuân Thủ,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-tuan-thu-1964200-jv
"Nhân Viên Kinh Doanh Thiết Bị Y Tế, Phòng Lab.",CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ VÀ ĐẦU TƯ MDC - Chi nhánh HCM,"Hà Nội, Hồ Chí Minh","số 1, lô 2 liền kề Nam Thắng, ngõ 67 Phùng Khoang, phường Đại Mỗ, TP Hà Nội; Số 173 Thống Nhất, Phường Phú Thọ Hòa, TP Hồ Chí Minh",Nhân viên,Từ 12.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-kinh-doanh-thiet-bi-y-te-phong-lab-1964194-jv
Trưởng Phòng Dịch Vụ Khách Hàng,Công Ty Cổ Phần Chứng Khoán BETA,Hồ Chí Minh,"Tầng 4-5, 55 Nam Kỳ Khởi Nghĩa, P. Bến Thành, TP.HCM",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-phong-dich-vu-khach-hang-1945417-jv
Marketing Intern (Market Research & Analysis),Navigos Group,Hồ Chí Minh,"20th Floor - 11 Doan Van Bo, Ward 13",Thực tập sinh/Sinh viên,Lên đến 3.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/marketing-intern-market-research-and-analysis-1964255-jv
Brand Activation Executive (English Communications required),Công Ty TNHH I.P. One (Việt Nam),Hồ Chí Minh,"EverGrow - Sky Gate Building - 36-38 Nguyễn Văn Trỗi, Đường Nguyễn Văn Trỗi, phường 15, Phú Nhuận, Hồ Chí Minh, Việt Nam",Nhân viên,900 - 1.200 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/brand-activation-executive-english-communications-required-1964134-jv
Kế Toán Tổng Hợp,Công ty TNHH Thương mại & Đầu tư Tbestpro,Hà Nội,"số 8 Đường Quang Trung, Quang Trung, Hà Đông, Hanoi, Vietnam",Nhân viên,9.000.000 - 14.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-tong-hop-1964199-jv
[Nhà Máy Bắc Giang] Chuyên Viên Kỹ Thuật Xưởng (Thu Nhập Từ 15- 20Tr/tháng),Công Ty Cổ Phần Thiết Bị Và Giải Pháp Cơ Khí AUTOMECH,"Bắc Giang, Bắc Ninh","Nhà máy số 01 – Lô E5, KCN Đình Trám, phường Nếnh, thị xã Việt Yên, tỉnh Bắc Giang; Bắc Ninh, Bac Ninh Province, Vietnam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nha-may-bac-giang-chuyen-vien-ky-thuat-xuong-thu-nhap-tu-15-20trthang-1964270-jv
Chuyên Viên/ Nhân Viên Thú Y Trang Trại Bò Thịt,Công Ty TNHH Chăn Nuôi Việt Nhật - Công Ty Thành Viên Của Vinamilk,Vĩnh Phúc,"Trang trại bò tại Bình Xuyên, Phú Thọ (Vĩnh Phúc)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-nhan-vien-thu-y-trang-trai-bo-thit-1964198-jv
Nhân Viên Pha Màu,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Mới Tốt Nghiệp,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-pha-mau-1964201-jv
Chuyên Viên Kế Toán,CÔNG TY CỔ PHẦN AMBER CAPITAL HOLDINGS,Hà Nội,"Tòa nhà Amber, 37 Bà Triệu, Hàng Bài, Hoàn Kiếm, Hà Nội",Nhân viên,1 - 1 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-ke-toan-1964195-jv
TRƯỞNG NHÓM QUẢN LÝ VẬN HÀNH,Công Ty Cổ Phần Đầu Tư Và Kinh Doanh Nhà Khang Điền,Hồ Chí Minh,"Tầng 11 Tòa nhà Saigon Centre Office, 67 Lê Lợi, Bến Nghé, Quận 1, TPHCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-nhom-quan-ly-van-hanh-1964168-jv
Nhân Viên Tuân Thủ,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-tuan-thu-1964200-jv
"Nhân Viên Kinh Doanh Thiết Bị Y Tế, Phòng Lab.",CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ VÀ ĐẦU TƯ MDC - Chi nhánh HCM,"Hà Nội, Hồ Chí Minh","số 1, lô 2 liền kề Nam Thắng, ngõ 67 Phùng Khoang, phường Đại Mỗ, TP Hà Nội; Số 173 Thống Nhất, Phường Phú Thọ Hòa, TP Hồ Chí Minh",Nhân viên,Từ 12.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-kinh-doanh-thiet-bi-y-te-phong-lab-1964194-jv
Trưởng Phòng Dịch Vụ Khách Hàng,Công Ty Cổ Phần Chứng Khoán BETA,Hồ Chí Minh,"Tầng 4-5, 55 Nam Kỳ Khởi Nghĩa, P. Bến Thành, TP.HCM",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-phong-dich-vu-khach-hang-1945417-jv
Brand Activation Executive (English Communications required),Công Ty TNHH I.P. One (Việt Nam),Hồ Chí Minh,"EverGrow - Sky Gate Building - 36-38 Nguyễn Văn Trỗi, Đường Nguyễn Văn Trỗi, phường 15, Phú Nhuận, Hồ Chí Minh, Việt Nam",Nhân viên,900 - 1.200 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/brand-activation-executive-english-communications-required-1964134-jv
Kế Toán Tổng Hợp,Công ty TNHH Thương mại & Đầu tư Tbestpro,Hà Nội,"số 8 Đường Quang Trung, Quang Trung, Hà Đông, Hanoi, Vietnam",Nhân viên,9.000.000 - 14.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-tong-hop-1964199-jv
[Nhà Máy Bắc Giang] Chuyên Viên Kỹ Thuật Xưởng (Thu Nhập Từ 15- 20Tr/tháng),Công Ty Cổ Phần Thiết Bị Và Giải Pháp Cơ Khí AUTOMECH,"Bắc Giang, Bắc Ninh","Nhà máy số 01 – Lô E5, KCN Đình Trám, phường Nếnh, thị xã Việt Yên, tỉnh Bắc Giang; Bắc Ninh, Bac Ninh Province, Vietnam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nha-may-bac-giang-chuyen-vien-ky-thuat-xuong-thu-nhap-tu-15-20trthang-1964270-jv
Chuyên Viên/ Nhân Viên Thú Y Trang Trại Bò Thịt,Công Ty TNHH Chăn Nuôi Việt Nhật - Công Ty Thành Viên Của Vinamilk,Vĩnh Phúc,"Trang trại bò tại Bình Xuyên, Phú Thọ (Vĩnh Phúc)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-nhan-vien-thu-y-trang-trai-bo-thit-1964198-jv
Nhân Viên Pha Màu,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Mới Tốt Nghiệp,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-pha-mau-1964201-jv
Chuyên Viên Kế Toán,CÔNG TY CỔ PHẦN AMBER CAPITAL HOLDINGS,Hà Nội,"Tòa nhà Amber, 37 Bà Triệu, Hàng Bài, Hoàn Kiếm, Hà Nội",Nhân viên,1 - 1 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-ke-toan-1964195-jv
TRƯỞNG NHÓM QUẢN LÝ VẬN HÀNH,Công Ty Cổ Phần Đầu Tư Và Kinh Doanh Nhà Khang Điền,Hồ Chí Minh,"Tầng 11 Tòa nhà Saigon Centre Office, 67 Lê Lợi, Bến Nghé, Quận 1, TPHCM",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-nhom-quan-ly-van-hanh-1964168-jv
Nhân Viên Tuân Thủ,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-tuan-thu-1964200-jv
"Nhân Viên Kinh Doanh Thiết Bị Y Tế, Phòng Lab.",CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ VÀ ĐẦU TƯ MDC - Chi nhánh HCM,"Hà Nội, Hồ Chí Minh","số 1, lô 2 liền kề Nam Thắng, ngõ 67 Phùng Khoang, phường Đại Mỗ, TP Hà Nội; Số 173 Thống Nhất, Phường Phú Thọ Hòa, TP Hồ Chí Minh",Nhân viên,Từ 12.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-kinh-doanh-thiet-bi-y-te-phong-lab-1964194-jv
Trưởng Phòng Dịch Vụ Khách Hàng,Công Ty Cổ Phần Chứng Khoán BETA,Hồ Chí Minh,"Tầng 4-5, 55 Nam Kỳ Khởi Nghĩa, P. Bến Thành, TP.HCM",Trưởng phòng,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/truong-phong-dich-vu-khach-hang-1945417-jv
Brand Activation Executive (English Communications required),Công Ty TNHH I.P. One (Việt Nam),Hồ Chí Minh,"EverGrow - Sky Gate Building - 36-38 Nguyễn Văn Trỗi, Đường Nguyễn Văn Trỗi, phường 15, Phú Nhuận, Hồ Chí Minh, Việt Nam",Nhân viên,900 - 1.200 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/brand-activation-executive-english-communications-required-1964134-jv
Kế Toán Tổng Hợp,Công ty TNHH Thương mại & Đầu tư Tbestpro,Hà Nội,"số 8 Đường Quang Trung, Quang Trung, Hà Đông, Hanoi, Vietnam",Nhân viên,9.000.000 - 14.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/ke-toan-tong-hop-1964199-jv
[Nhà Máy Bắc Giang] Chuyên Viên Kỹ Thuật Xưởng (Thu Nhập Từ 15- 20Tr/tháng),Công Ty Cổ Phần Thiết Bị Và Giải Pháp Cơ Khí AUTOMECH,"Bắc Giang, Bắc Ninh","Nhà máy số 01 – Lô E5, KCN Đình Trám, phường Nếnh, thị xã Việt Yên, tỉnh Bắc Giang; Bắc Ninh, Bac Ninh Province, Vietnam",Nhân viên,15.000.000 - 20.000.000 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/nha-may-bac-giang-chuyen-vien-ky-thuat-xuong-thu-nhap-tu-15-20trthang-1964270-jv
Chuyên Viên/ Nhân Viên Thú Y Trang Trại Bò Thịt,Công Ty TNHH Chăn Nuôi Việt Nhật - Công Ty Thành Viên Của Vinamilk,Vĩnh Phúc,"Trang trại bò tại Bình Xuyên, Phú Thọ (Vĩnh Phúc)",Nhân viên,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-nhan-vien-thu-y-trang-trai-bo-thit-1964198-jv
Nhân Viên Pha Màu,Công Ty TNHH YKK Việt Nam - Chi nhánh Hà Nam,Ninh Bình,"Khu công nghiệp hỗ trợ Đồng Văn III, Phường Đồng Văn, Tỉnh Ninh Bình, Việt Nam",Mới Tốt Nghiệp,Thỏa thuận,2025-09-30,2025-10-30,https://www.vietnamworks.com/nhan-vien-pha-mau-1964201-jv
Chuyên Viên Kế Toán,CÔNG TY CỔ PHẦN AMBER CAPITAL HOLDINGS,Hà Nội,"Tòa nhà Amber, 37 Bà Triệu, Hàng Bài, Hoàn Kiếm, Hà Nội",Nhân viên,1 - 1 VND,2025-09-30,2025-10-30,https://www.vietnamworks.com/chuyen-vien-ke-toan-1964195-jv
