ID,Tên công việc,Tên công ty,Nơi làm việc,Mức lương,Ngày đăng tin,Ngày hết hạn,Link
35C5B5CA,[Đà Nẵng] Giao dịch viên(Mới),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Đà Nẵng,Lương: 10 Tr - 20 Tr VND,15-10-2025,12-12-2025,https://careerviet.vn/vi/tim-viec-lam/da-nang-giao-dich-vien.35C5B5CA.html
35C5B5C9,Product Manager (Construction Machinery)(Mới),Headhunter HRchannels Group,Hà Nội,"Lương: 1,200 - 1,700 USD",15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/product-manager-construction-machinery.35C5B5C9.html
35C5B5C8,[Đà Nẵng] Chuyên Viên Khách Hàng Cá Nhân(Mới),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Đà Nẵng,Lương: 10 Tr - 30 Tr VND,15-10-2025,15-11-2025,https://careerviet.vn/vi/tim-viec-lam/da-nang-chuyen-vien-khach-hang-ca-nhan.35C5B5C8.html
35C5B5C5,Production Staff(Mới),Panasonic Electric Works Vietnam,Bình Dương,Lương: Cạnh Tranh,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/production-staff.35C5B5C5.html
35C5A4D9,Procurement Executive,"UNIEXPORT CO., LTD",Hồ Chí Minh,Lương: Cạnh Tranh,15-10-2025,31-10-2025,https://careerviet.vn/vi/tim-viec-lam/procurement-executive.35C5A4D9.html
35C5B5C3,Sale Inbound Executive(Mới),Công ty TNHH X.E Việt Nam,Hà Nội,Lương: 15 Tr - 20 Tr VND,15-10-2025,30-11-2025,https://careerviet.vn/vi/tim-viec-lam/sale-inbound-executive.35C5B5C3.html
35C5B5B5,Chuyên viên Giải phóng mặt bằng(Mới),CÔNG TY CỔ PHẦN TẬP ĐOÀN BMK,Thái Nguyên,Lương: 20 Tr - 30 Tr VND,15-10-2025,25-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-giai-phong-mat-bang.35C5B5B5.html
35C5B5BC,Kế toán Công Nợ(Mới),CÔNG TY CỔ PHẦN SẢN XUẤT VÀ BẢO DƯỠNG THIẾT BỊ HÀNG KHÔNG,Hà Nội,Lương: Cạnh Tranh,15-10-2025,16-11-2025,https://careerviet.vn/vi/tim-viec-lam/ke-toan-cong-no.35C5B5BC.html
35C58AD5,Chuyên viên kế toán doanh thu,CÔNG TY CỔ PHẦN THẾ GIỚI SỐ,Hồ Chí Minh,Lương: 10 Tr - 12 Tr VND,15-10-2025,14-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-ke-toan-doanh-thu.35C58AD5.html
35C5B5C0,Chuyên viên Quan hệ Khách hàng Cá nhân (Toàn quốc)(Mới),Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),Bình Dương Đà Nẵng,Lương: Cạnh Tranh,15-10-2025,13-11-2025,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-quan-he-khach-hang-ca-nhan-toan-quoc.35C5B5C0.html
